"nome","data_inicio","escritorio","area","tipo","palavras_chaves","origem","iniciais_originadores","valor_da_transacao","valor_fee_sucesso","valor_fee_mensal","expectativa_fechamento","status_atual","data_conclusao_conforme_status","qtde_negocios_com_o_cliente","ult_interacao","interesse(target)"
negocio904,"21/05/2019",Araujo Fontes BH,Dívida Captação,Projeto,"Borborema,Gold,Project Financing",,MB,450000000.00,4500000.00,150000.00,"29/12/2020",Concluído sem sucesso,"04/01/2021",2,"11/09/2020","1"
negocio905,"21/05/2019",,Assessoria Estratégica,Pré-Lead,,,MB,,,,,Ativo,,1,"22/05/2019",
negocio906,"23/04/2019",Araujo Fontes BH,Assessoria Estratégica,Projeto,,,"EF,GE",47000000.00,611000.00,,"27/05/2019",Concluído sem sucesso,,3,"28/05/2019","1"
negocio907,"22/05/2019",,M&A Sell Side,Lead,,,Gd,,,,,Concluído sem sucesso,"14/04/2020",2,"14/04/2020",
negocio908,"22/05/2019",,M&A Sell Side,Pré-Lead,,,Gd,,,,,Concluído sem sucesso,"14/04/2020",2,"22/05/2019",
negocio909,"17/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,LK,,,,"31/05/2019",Concluído sem sucesso,"14/06/2019",2,"07/06/2019","3"
negocio910,"22/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,EF,,,,,Concluído sem sucesso,"10/09/2019",1,"22/05/2019","4"
negocio911,"01/02/2019",Araujo Fontes BH,M&A Sell Side,Projeto,"corretora,fintech",,EF,300000000.00,,,"31/05/2021",Concluído com sucesso,"30/04/2021",1,"31/03/2021","1"
negocio912,"23/05/2019",,M&A Sell Side,Proposta,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",3,"24/06/2019",
negocio913,"23/05/2019",,M&A Sell Side,Proposta,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",1,"04/06/2019",
negocio914,"24/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"01/07/2019",Ativo,,2,"24/05/2019","3"
negocio915,"24/05/2019",Araujo Fontes BH,Fusão com Definição de Alternativas Estratégicas,Projeto,,,MA,,,,"13/06/2021",Concluído sem sucesso,"21/05/2021",1,"23/12/2020","2"
negocio916,"27/05/2019",,Gestão de Recursos,Lead,,,RC,,,,"31/01/2020",Ativo,,2,"23/01/2020",
negocio917,"27/05/2019",Araujo Fontes Rib. Preto,M&A Buy Side,Lead,,,"AR,LK",,,,"07/06/2019",Concluído sem sucesso,,3,"27/05/2019","4"
negocio918,"30/07/2018",Araujo Fontes BH,Consultoria,Projeto,,,JM,10125.00,10125.00,10125.00,"26/04/2019",Concluído com sucesso,"26/04/2019",1,"28/05/2019",
negocio919,"26/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,GE,,,,"31/10/2019",Concluído com sucesso,"31/10/2019",4,"04/11/2019",
negocio920,"27/05/2019",Araujo Fontes BH,M&A Sell Side,Projeto,"mineração,minério de ferro",,MA,15400000.00,,,"30/09/2019",Concluído com sucesso,"30/09/2019",1,"30/05/2019","4"
negocio921,"30/05/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,LK,13300000.00,532000.00,,"28/06/2019",Concluído sem sucesso,,1,"04/07/2019","3"
negocio922,"31/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,,80000000.00,,,"30/10/2020",Inativo,,1,"04/09/2019","2"
negocio923,"04/06/2019",,M&A Sell Side,Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",3,"04/06/2019",
negocio924,"02/06/2019",Araujo Fontes BH,Gestão de Recursos,Projeto,,,"Ml,RC",,,,"31/12/2019",Inativo,,3,"10/01/2020","1"
negocio925,"03/06/2019",Araujo Fontes BH,Gestão de Recursos,Proposta,,,,,,,"27/09/2019",Ativo,,3,"05/06/2019",
negocio926,"02/06/2019",Araujo Fontes BH,Consultoria,Projeto,,,,,,,"28/02/2020",Inativo,,5,"09/11/2020",
negocio927,"04/06/2019",,M&A Sell Side,Proposta,,,,,,,,Concluído sem sucesso,,1,"23/08/2019",
negocio928,"04/06/2019",,Assessoria Estratégica,Pré-Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",1,"10/06/2019",
negocio929,"13/06/2019",Araujo Fontes Goiânia,Assessoria Estratégica,Proposta,,,"FP,LK,MB",50000000.00,1500000.00,,"30/09/2020",Concluído sem sucesso,"28/10/2020",1,"08/09/2020","4"
negocio930,"05/06/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,PL,,,,"06/06/2019",Concluído sem sucesso,,2,"05/06/2019","5"
negocio931,"05/06/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"29/11/2019",Ativo,,3,"05/06/2019","3"
negocio932,"05/06/2019",,Assessoria Estratégica,Pré-Lead,,,LK,,,,,Concluído sem sucesso,"01/07/2019",1,"05/06/2019",
negocio933,"05/06/2019",,M&A Sell Side,Pré-Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",2,"05/06/2019",
negocio934,"06/06/2019",,Consultoria,Lead,,,,,,,,Ativo,,5,"06/06/2019",
negocio935,"06/06/2019",,M&A Sell Side,Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",2,"07/06/2019",
negocio936,"06/06/2019",Araujo Fontes BH,Dívida Captação,Projeto,,,FB,40000000.00,480000.00,108000.00,"17/12/2020",Concluído sem sucesso,"19/11/2020",2,"18/11/2020","1"
negocio937,"06/06/2019",,Dívida Captação,Pré-Lead,,,EP,,,,,Ativo,,1,"06/06/2019",
negocio938,"07/06/2019",Araujo Fontes BH,Dívida Captação,Projeto,,,MA,19666666.67,737500.00,180000.00,"15/09/2020",Concluído com sucesso,"16/02/2021",5,"22/06/2020","2"
negocio939,"07/06/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,MA,,,,"28/06/2019",Concluído sem sucesso,,3,"10/06/2019","3"
negocio940,"10/06/2019",,Dívida Reperfilamento,Lead,,,AR,,,,,Ativo,,1,"10/06/2019",
negocio941,"10/06/2019",,Assessoria Estratégica,Lead,,,AR,,,,,Ativo,,1,"10/06/2019",
negocio942,"10/06/2019",,Dívida Reperfilamento,Lead,,,AR,,,,,Ativo,,1,"10/06/2019",
negocio943,"10/06/2019",,Fusão com Alvo Pré-definido,Lead,,,AR,,,,,Concluído sem sucesso,"06/05/2021",1,"06/05/2021",
negocio944,"10/06/2019",,Dívida Captação,Lead,,,AR,,,,,Ativo,,3,"12/11/2019",
negocio945,"10/06/2019",,M&A Sell Side,Pré-Lead,,,MB,,,,,Ativo,,2,"10/06/2019",
negocio946,"10/06/2019",,Assessoria Estratégica,Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",3,"18/07/2019",
negocio948,"10/06/2019",,Dívida Captação,Pré-Lead,,,MB,,,,,Ativo,,2,"10/06/2019",
negocio949,"10/06/2019",,Assessoria Estratégica,Pré-Lead,,,,,,,,Concluído sem sucesso,,1,"30/08/2019",
negocio950,"10/06/2019",,Assessoria Estratégica,Lead,,,,,,,,Ativo,,1,"26/07/2019",
negocio951,"11/06/2019",,Imobiliário,Pré-Lead,,,FP,,,,,Concluído sem sucesso,"10/06/2020",1,"05/06/2019",
negocio952,"10/06/2019",Araujo Fontes Rib. Preto,Assessoria Estratégica,Proposta,,,AR,24000000.00,720000.00,,"28/06/2019",Concluído sem sucesso,"19/12/2019",2,"19/12/2019","3"
negocio953,"06/06/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"29/11/2019",Ativo,,2,"03/12/2019","3"
negocio954,"11/06/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,LC,,,,"30/06/2020",Concluído sem sucesso,"14/11/2019",1,"14/11/2019","1"
negocio955,"05/06/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,MA,70000000.00,2450000.00,200000.00,"05/06/2020",Concluído sem sucesso,"24/04/2020",2,"24/04/2020","1"
negocio956,"12/06/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"20/12/2019",Ativo,,1,"09/12/2019","5"
